Designator,Val,Package,Mid X,Mid Y,Rot,Side
CF3,0.1uF,C_0805_2012Metric,266.05025,-186.58825,0,bottom
C_F1,0.1uF,C_0805_2012Metric,237.9565,-181.82575,180,bottom
C_F2,0.1uF,C_0805_2012Metric,228.65125,-198.6875,90,bottom
C_F3,0.1uF,C_0805_2012Metric,237.3825,-176.61875,0,bottom
C_F4,0.1uF,C_0805_2012Metric,232.874,-186.112,270,bottom
C_FM1,10uF,C_0805_2012Metric,237.9565,-179.762,180,bottom
C_X1,22pF,C_0805_2012Metric,257.447151,-194.558849,225,bottom
C_X2,22pF,C_0805_2012Metric,256.888351,-190.161951,135,bottom
C_ucap1,1uF,C_0805_2012Metric,258.75025,-181.82575,180,bottom
D1,D_Small,D_SOD-123,79.36275,-120.707,90,bottom
D2,D_Small,D_SOD-123,79.36275,-139.757,90,bottom
D3,D_Small,D_SOD-123,79.36275,-158.807,90,bottom
D4,D_Small,D_SOD-123,79.36275,-177.857,90,bottom
D5,D_Small,D_SOD-123,79.204,-193.607,270,bottom
D6,D_Small,D_SOD-123,98.41275,-101.657,90,bottom
D7,D_Small,D_SOD-123,98.41275,-120.707,90,bottom
D8,D_Small,D_SOD-123,103.17525,-139.757,90,bottom
D9,D_Small,D_SOD-123,105.5565,-158.807,90,bottom
D10,D_Small,D_SOD-123,107.09375,-181.76875,180,bottom
D11,D_Small,D_SOD-123,103.969,-192.842,270,bottom
D12,D_Small,D_SOD-123,117.46275,-101.657,90,bottom
D13,D_Small,D_SOD-123,117.46275,-120.707,90,bottom
D14,D_Small,D_SOD-123,130.639,-192.462,180,bottom
D15,D_Small,D_SOD-123,126.98775,-139.757,90,bottom
D16,D_Small,D_SOD-123,131.75025,-158.807,90,bottom
D17,D_Small,D_SOD-123,136.51275,-101.657,90,bottom
D18,D_Small,D_SOD-123,136.51275,-120.707,90,bottom
D19,D_Small,D_SOD-123,141.27525,-177.857,90,bottom
D20,D_Small,D_SOD-123,150.959,-193.097,270,bottom
D21,D_Small,D_SOD-123,146.03775,-139.757,90,bottom
D22,D_Small,D_SOD-123,150.80025,-158.807,90,bottom
D23,D_Small,D_SOD-123,155.56275,-101.657,90,bottom
D24,D_Small,D_SOD-123,155.56275,-120.707,90,bottom
D25,D_Small,D_SOD-123,160.32525,-177.857,90,bottom
D26,D_Small,D_SOD-123,165.08775,-139.757,90,bottom
D27,D_Small,D_SOD-123,169.85025,-158.807,90,bottom
D28,D_Small,D_SOD-123,174.61275,-101.657,90,bottom
D29,D_Small,D_SOD-123,174.61275,-120.707,90,bottom
D30,D_Small,D_SOD-123,179.37525,-177.857,90,bottom
D31,D_Small,D_SOD-123,184.13775,-139.757,90,bottom
D32,D_Small,D_SOD-123,188.90025,-158.807,90,bottom
D33,D_Small,D_SOD-123,193.66275,-101.657,90,bottom
D34,D_Small,D_SOD-123,193.66275,-120.707,90,bottom
D35,D_Small,D_SOD-123,198.42525,-177.857,90,bottom
D36,D_Small,D_SOD-123,203.18775,-139.757,90,bottom
D37,D_Small,D_SOD-123,207.95025,-158.807,90,bottom
D38,D_Small,D_SOD-123,212.71275,-101.657,90,bottom
D39,D_Small,D_SOD-123,212.71275,-120.707,90,bottom
D40,D_Small,D_SOD-123,217.47525,-177.857,90,bottom
D41,D_Small,D_SOD-123,219.06275,-192.207,270,bottom
D42,D_Small,D_SOD-123,222.23775,-139.757,90,bottom
D43,D_Small,D_SOD-123,227.00025,-158.807,90,bottom
D44,D_Small,D_SOD-123,231.76275,-101.657,90,bottom
D45,D_Small,D_SOD-123,231.76275,-120.707,90,bottom
D46,D_Small,D_SOD-123,234.779,-171.887,270,bottom
D47,D_Small,D_SOD-123,241.28775,-139.757,90,bottom
D48,D_Small,D_SOD-123,246.05025,-158.807,90,bottom
D49,D_Small,D_SOD-123,250.81275,-101.657,90,bottom
D50,D_Small,D_SOD-123,250.81275,-120.707,90,bottom
D51,D_Small,D_SOD-123,254.464,-171.887,270,bottom
D52,D_Small,D_SOD-123,260.33775,-139.757,90,bottom
D53,D_Small,D_SOD-123,290.50025,-200.082,0,bottom
D54,D_Small,D_SOD-123,265.10025,-158.807,90,bottom
D55,D_Small,D_SOD-123,269.86275,-101.657,90,bottom
D56,D_Small,D_SOD-123,269.86275,-120.707,90,bottom
D57,D_Small,D_SOD-123,273.03775,-173.0945,270,bottom
D58,D_Small,D_SOD-123,279.38775,-139.757,90,bottom
D59,D_Small,D_SOD-123,284.15025,-158.807,90,bottom
D60,D_Small,D_SOD-123,306.31275,-200.082,0,bottom
D61,D_Small,D_SOD-123,288.91275,-101.657,90,bottom
D62,D_Small,D_SOD-123,288.91275,-120.707,90,bottom
D63,D_Small,D_SOD-123,293.67525,-174.557,270,bottom
D64,D_Small,D_SOD-123,298.43775,-139.757,90,bottom
D65,D_Small,D_SOD-123,303.20025,-158.807,90,bottom
D66,D_Small,D_SOD-123,326.219,-193.732,90,bottom
D67,D_Small,D_SOD-123,307.96275,-101.657,90,bottom
D68,D_Small,D_SOD-123,307.96275,-120.707,90,bottom
D69,D_Small,D_SOD-123,312.249,-174.557,270,bottom
D70,D_Small,D_SOD-123,317.48775,-139.757,90,bottom
D71,D_Small,D_SOD-123,322.25025,-155.6945,270,bottom
D72,D_Small,D_SOD-123,327.01275,-101.657,90,bottom
D73,D_Small,D_SOD-123,327.01275,-120.707,90,bottom
D74,D_Small,D_SOD-123,336.53775,-139.757,90,bottom
D75,D_Small,D_SOD-123,341.36375,-174.175,270,bottom
D76,D_Small,D_SOD-123,346.06275,-101.657,90,bottom
D77,D_Small,D_SOD-123,346.06275,-196.907,90,bottom
D78,D_Small,D_SOD-123,351.63125,-124.68125,90,bottom
D79,D_Small,D_SOD-123,344.47525,-139.757,90,bottom
D80,D_Small,D_SOD-123,350.82525,-152.2695,270,bottom
D81,D_Small,D_SOD-123,365.081,-174.557,270,bottom
D82,D_Small,D_SOD-123,365.11275,-196.907,90,bottom
D83,D_Small,D_SOD-123,372.2575,-190.90625,0,bottom
D84,D_Small,D_SOD-123,82.53775,-103.182,90,bottom
D85,D_Small,D_SOD-123,376.35125,-125.81875,0,bottom
D86,D_Small,D_SOD-123,376.35125,-144.86875,0,bottom
D87,D_Small,D_SOD-123,376.35125,-149.63125,0,bottom
D88,D_Small,D_SOD-123,376.22625,-168.68125,0,bottom
D89,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,81.019,-111.1945,0,bottom
D90,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,156.3565,-111.182,0,bottom
D91,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,233.35025,-111.182,0,bottom
D92,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,309.55025,-111.182,0,bottom
D93,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,365.499,-110.242,180,bottom
D94,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,366.70025,-187.382,270,bottom
D95,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,309.55025,-187.382,180,bottom
D96,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,211.919,-185.7945,180,bottom
D97,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.859,-185.172,180,bottom
D98,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,80.95025,-187.382,180,bottom
D_SPLIT_BS_R1,D_Small,D_SOD-123,342.10625,-106.425,270,bottom
D_SPLIT_RS_R1,D_Small,D_SOD-123,127.0625,-187.325,180,bottom
F1,500mA,Fuse_1206_3216Metric,372.069,-101.657,0,bottom
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,377.295,-94.82,0,bottom
R1,500,R_0805_2012Metric,379.4593,-111.1566,180,bottom
R2,500,R_0805_2012Metric,302.4065,-185.7945,180,bottom
R_SW1,10k,R_0805_2012Metric,315.5256,-186.5965,90,bottom
R_SW2,10k,R_0805_2012Metric,273.22,-200.43125,0,bottom
R_d1,22,R_0805_2012Metric,378.6065,-102.45075,90,bottom
R_d2,22,R_0805_2012Metric,376.22525,-102.45075,90,bottom
R_u1,5.1k,R_0805_2012Metric,372.2565,-104.03825,0,bottom
R_u2,5.1k,R_0805_2012Metric,382.57525,-106.4195,180,bottom
SW1,SW_Push,SKQG-1155865,321.3815,-185.26325,0,bottom
U1,AT90USB1286-AU,TQFP-64_14x14mm_P0.8mm,243.675,-192.9,270,bottom
U2,SRV05-4,SOT-23-6,377.4176,-106.036,180,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,255.207858,-192.359377,135,bottom
